Country Code,Year,Native Prices
AED,2015,4260.9
AED,2010,4497.58
AED,2016,4594.17
AED,2017,4617.43
AED,2014,4651.52
AED,2018,4659.14
AED,2019,5114.98
AED,2013,5183.46
AED,2011,5772.16
AED,2012,6130.18
AED,2020,6499.7
AED,2021,6606.3
AED,2022,6611.71
AED,2023,7127.19
AUD,2010,1331.69
AUD,2014,1402.56
AUD,2013,1454.48
AUD,2011,1523.35
AUD,2015,1542.68
AUD,2012,1610.4
AUD,2017,1639.58
AUD,2016,1679.72
AUD,2018,1695.7
AUD,2019,2006.19
AUD,2021,2395.23
AUD,2020,2563.14
AUD,2022,2592.53
AUD,2023,2924.06
CAD,2010,1260.96
CAD,2014,1397.36
CAD,2013,1450.96
CAD,2015,1480.79
CAD,2011,1556.33
CAD,2017,1631.29
CAD,2018,1642.26
CAD,2016,1655.09
CAD,2012,1667.11
CAD,2019,1847.14
CAD,2021,2254.25
CAD,2022,2340.57
CAD,2020,2371.23
CAD,2023,2619.22
CHF,2015,1115.49
CHF,2014,1157.3
CHF,2016,1230.68
CHF,2017,1237.23
CHF,2018,1240.46
CHF,2010,1273.85
CHF,2013,1308.97
CHF,2019,1383.37
CHF,2011,1388.58
CHF,2012,1564.9
CHF,2021,1643.88
CHF,2020,1658.14
CHF,2022,1718.5
CHF,2023,1744.25
CNY,2015,7285.1
CNY,2014,7802.03
CNY,2010,8283.04
CNY,2016,8305.79
CNY,2018,8384.07
CNY,2017,8487.15
CNY,2013,8684.25
CNY,2019,9634.88
CNY,2011,10147.64
CNY,2012,10530.5
CNY,2021,11601.97
CNY,2022,12096.88
CNY,2020,12199.77
CNY,2023,13750.71
EGP,2010,6910.83
EGP,2015,8938.36
EGP,2014,8971.17
EGP,2011,9345.95
EGP,2013,9688.33
EGP,2012,10129.86
EGP,2016,12420.36
EGP,2017,22420.48
EGP,2018,22593.17
EGP,2019,23382.99
EGP,2020,27991.04
EGP,2021,28232.12
EGP,2022,34416.79
EGP,2023,59587.42
EUR,2010,925.07
EUR,2014,952.91
EUR,2015,1045.18
EUR,2013,1063.6
EUR,2018,1073.57
EUR,2017,1114.23
EUR,2016,1129.1
EUR,2011,1129.72
EUR,2019,1244.88
EUR,2012,1298.4
EUR,2021,1520.66
EUR,2020,1549.04
EUR,2022,1710.39
EUR,2023,1794.95
GBP,2015,758.88
GBP,2014,768.23
GBP,2010,792.32
GBP,2013,903.71
GBP,2016,926.96
GBP,2018,949.69
GBP,2017,976.15
GBP,2011,980.64
GBP,2012,1052.89
GBP,2019,1092.96
GBP,2021,1307.47
GBP,2020,1379.05
GBP,2022,1457.88
GBP,2023,1560.71
IDR,2010,11115159.11
IDR,2011,13789785.21
IDR,2013,14602375.48
IDR,2014,15007297.22
IDR,2015,15523982.83
IDR,2012,15653930.52
IDR,2016,16615801.28
IDR,2017,16818791.75
IDR,2018,18038763.81
IDR,2019,19691712.43
IDR,2021,25734126.42
IDR,2020,25799982.06
IDR,2022,26699648.76
IDR,2023,29569630.71
INR,2010,55973.95
INR,2011,73468.52
INR,2015,74313.04
INR,2014,77229.8
INR,2017,81853.62
INR,2013,82241.61
INR,2016,84006.9
INR,2018,86650.56
INR,2012,89057.53
INR,2019,98093.13
INR,2020,131202.92
INR,2021,132985.88
INR,2022,141287.27
INR,2023,160226.19
JPY,2010,107090.07
JPY,2011,124898.76
JPY,2012,133089.63
JPY,2014,133678.26
JPY,2016,135418.3
JPY,2013,137198.82
JPY,2018,140039.7
JPY,2015,140383.8
JPY,2017,140957.37
JPY,2019,151689.33
JPY,2020,188771.16
JPY,2021,197452.31
JPY,2022,236043.96
JPY,2023,272977.95
KRW,2015,1311776.46
KRW,2014,1332782.8
KRW,2018,1395056.8
KRW,2010,1416472.23
KRW,2017,1421773.78
KRW,2016,1449117.55
KRW,2013,1545490.96
KRW,2019,1625477.57
KRW,2011,1741005.98
KRW,2012,1879336.66
KRW,2021,2059236.08
KRW,2020,2085669.12
KRW,2022,2322615.25
KRW,2023,2535512.36
RUB,2010,37236.04
RUB,2013,44829.55
RUB,2011,46275.72
RUB,2014,48490.58
RUB,2012,51808.77
RUB,2015,70867.28
RUB,2017,73359.39
RUB,2018,79407.91
RUB,2016,83668.49
RUB,2019,90090.9
RUB,2022,126858.52
RUB,2020,128391.52
RUB,2021,132521.34
RUB,2023,166081.67
SAR,2015,4351.7
SAR,2010,4592.21
SAR,2016,4691.38
SAR,2017,4714.75
SAR,2014,4750.23
SAR,2018,4760.12
SAR,2019,5223.97
SAR,2013,5292.61
SAR,2011,5893.7
SAR,2012,6259.2
SAR,2020,6640.89
SAR,2021,6746.33
SAR,2022,6758.88
SAR,2023,7280.53
THB,2010,38729.65
THB,2015,39672.24
THB,2018,40975.3
THB,2014,41115.55
THB,2017,42640.86
THB,2019,43183.78
THB,2013,43226.68
THB,2016,44092.84
THB,2011,47905.42
THB,2012,51835.94
THB,2020,55344.62
THB,2021,57538.48
THB,2022,63014.97
THB,2023,67552.8
TRY,2010,1843.16
TRY,2011,2655.5
TRY,2013,2674.54
TRY,2014,2767.59
TRY,2012,3003.12
TRY,2015,3152.84
TRY,2016,3772.09
TRY,2017,4582.91
TRY,2018,6099.62
TRY,2019,7907.42
TRY,2020,12504.04
TRY,2021,15976.64
TRY,2022,29710
TRY,2023,46269.15
USD,2015,1160.06
USD,2010,1224.52
USD,2016,1250.8
USD,2017,1257.15
USD,2014,1266.4
USD,2018,1268.49
USD,2019,1392.6
USD,2013,1411.23
USD,2011,1571.52
USD,2012,1668.98
USD,2020,1769.59
USD,2021,1798.61
USD,2022,1800.09
USD,2023,1940.54
VND,2010,23459864.32
VND,2015,25394063.41
VND,2014,26822929.19
VND,2016,27964290.82
VND,2017,28557362.45
VND,2018,29184398.94
VND,2013,29641873.89
VND,2019,32342786.84
VND,2011,32493780.85
VND,2012,34818672.05
VND,2020,41105675
VND,2021,41251055.96
VND,2022,42105952.39
VND,2023,46252668.62
ZAR,2010,8945.64
ZAR,2011,11458.2
ZAR,2013,13543.52
ZAR,2012,13698.12
ZAR,2014,13724.38
ZAR,2015,14745.52
ZAR,2018,16745.36
ZAR,2017,16746.53
ZAR,2016,18349.51
ZAR,2019,20154.9
ZAR,2021,26589.05
ZAR,2020,29171.43
ZAR,2022,29397.27
ZAR,2023,35825.91
